Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,sessions.py,Simple List,343,347,16,A1
requests,sessions.py,Simple List,148,148,15,A1
requests,sessions.py,Simple List,87,87,65,A1
requests,sessions.py,Simple List,90,90,65,A1
requests,sessions.py,Simple List,669,669,22,A1
requests,sessions.py,Simple List,174,174,31,A1
requests,sessions.py,Simple Tuple,136,136,23,A1
requests,sessions.py,Simple Tuple,726,726,12,A1
requests,sessions.py,Simple Tuple,755,755,12,A1
requests,sessions.py,Simple Tuple,74,74,23,A1
requests,sessions.py,Simple Tuple,292,292,12,A1
requests,sessions.py,Simple Tuple,702,702,16,A1
requests,sessions.py,Simple Tuple,129,129,63,A1
requests,sessions.py,Simple Tuple,130,130,72,A1
requests,sessions.py,Simple Tuple,162,162,19,A1
requests,sessions.py,Simple Tuple,197,197,39,A1
requests,sessions.py,Simple Tuple,199,199,33,A1
requests,sessions.py,Simple Tuple,294,294,12,A1
requests,sessions.py,Simple Tuple,294,294,33,A1
requests,sessions.py,Simple Dictionary,363,363,23,A2
requests,sessions.py,Simple Dictionary,371,371,22,A2
requests,sessions.py,Simple Dictionary,524,527,22,A2
requests,sessions.py,Simple Dictionary,717,718,15,A2
requests,sessions.py,Simple Dictionary,404,404,43,A2
requests,sessions.py,Simple Dictionary,427,427,37,A2
requests,sessions.py,Simple Dictionary,517,517,29,A2
requests,sessions.py,Simple Dictionary,508,508,25,A2
requests,sessions.py,Simple Dictionary,510,510,29,A2
requests,sessions.py,Files --> 'read' call function,163,163,16,A2
requests,sessions.py,If statements expression (else),268,268,19,B1
requests,sessions.py,If statements expression (else),700,700,23,B1
requests,sessions.py,Simple Atributte,41,41,3,A2
requests,sessions.py,Simple Atributte,47,47,22,A2
requests,sessions.py,Simple Atributte,43,43,26,A2
requests,sessions.py,Simple Atributte,70,70,4,A2
requests,sessions.py,Simple Atributte,106,106,11,A2
requests,sessions.py,Simple Atributte,151,151,28,A2
requests,sessions.py,Simple Atributte,259,259,18,A2
requests,sessions.py,Simple Atributte,260,260,14,A2
requests,sessions.py,Simple Atributte,284,284,18,A2
requests,sessions.py,Simple Atributte,285,285,17,A2
