Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,cookies.py,Simple List,156,156,17,A1
requests,cookies.py,Simple List,279,279,18,A1
requests,cookies.py,Simple List,287,287,16,A1
requests,cookies.py,Simple List,299,299,18,A1
requests,cookies.py,Simple List,59,66,12,A1
requests,cookies.py,Simple Tuple,166,166,8,A1
requests,cookies.py,Simple Tuple,164,164,26,A1
requests,cookies.py,Simple Tuple,266,266,18,A1
requests,cookies.py,1 Nested Dictionary,461,475,13,B1
requests,cookies.py,Simple Dictionary,37,37,28,A2
requests,cookies.py,Simple Dictionary,313,313,21,A2
requests,cookies.py,Simple Dictionary,473,473,16,A2
requests,cookies.py,Simple Dictionary,513,513,13,A2
requests,cookies.py,Super Function,356,356,15,C2
requests,cookies.py,Super Function,323,323,19,C2
requests,cookies.py,Super Function,364,364,12,C2
requests,cookies.py,Simple Atributte,176,176,24,A2
requests,cookies.py,Simple Atributte,36,36,8,A2
requests,cookies.py,Simple Atributte,37,37,8,A2
requests,cookies.py,Simple Atributte,38,38,8,A2
requests,cookies.py,Simple Atributte,38,38,20,A2
requests,cookies.py,Simple Atributte,41,41,15,A2
requests,cookies.py,Simple Atributte,44,44,15,A2
requests,cookies.py,Simple Atributte,88,88,15,A2
requests,cookies.py,Simple Atributte,115,115,8,A2
requests,cookies.py,Simple Atributte,118,118,15,A2
requests,cookies.py,Simple Atributte,136,136,23,A2
requests,cookies.py,Simple Atributte,137,137,4,A2
requests,cookies.py,Simple Atributte,147,147,4,A2
requests,cookies.py,Simple Atributte,148,148,11,A2
requests,cookies.py,Simple Atributte,437,437,15,A2
requests,cookies.py,Simple Atributte,448,448,14,A2
requests,cookies.py,Simple Atributte,449,449,4,A2
requests,cookies.py,Simple Atributte,483,483,4,A2
requests,cookies.py,Simple Atributte,486,486,35,A2
requests,cookies.py,Simple Atributte,489,489,11,A2
requests,cookies.py,Simple Atributte,47,47,15,A2
requests,cookies.py,Simple Atributte,53,53,19,A2
requests,cookies.py,Simple Atributte,56,56,26,A2
requests,cookies.py,Simple Atributte,76,76,15,A2
requests,cookies.py,Simple Atributte,85,85,8,A2
requests,cookies.py,Simple Atributte,92,92,15,A2
requests,cookies.py,Simple Atributte,96,96,15,A2
requests,cookies.py,Simple Atributte,100,100,15,A2
requests,cookies.py,Simple Atributte,121,121,8,A2
requests,cookies.py,Simple Atributte,131,131,56,A2
requests,cookies.py,Simple Atributte,136,136,23,A2
requests,cookies.py,Simple Atributte,158,158,11,A2
requests,cookies.py,Simple Atributte,164,164,8,A2
requests,cookies.py,Simple Atributte,167,167,8,A2
requests,cookies.py,Simple Atributte,222,222,8,A2
requests,cookies.py,Simple Atributte,334,334,15,A2
requests,cookies.py,Simple Atributte,341,341,8,A2
requests,cookies.py,Simple Atributte,355,355,12,A2
requests,cookies.py,Simple Atributte,356,356,15,A2
requests,cookies.py,Simple Atributte,360,360,29,A2
requests,cookies.py,Simple Atributte,417,417,16,A2
requests,cookies.py,Simple Atributte,419,419,8,A2
requests,cookies.py,Simple Atributte,424,424,8,A2
requests,cookies.py,Special Class Attribute __dict__,425,425,34,B2
requests,cookies.py,Simple Atributte,426,426,12,A2
requests,cookies.py,Simple Atributte,431,431,8,A2
requests,cookies.py,Simple Atributte,432,432,8,A2
requests,cookies.py,Simple Atributte,446,446,15,A2
requests,cookies.py,Simple Atributte,451,451,8,A2
requests,cookies.py,Simple Atributte,510,510,13,A2
requests,cookies.py,Simple Atributte,516,516,14,A2
requests,cookies.py,Simple Atributte,534,534,26,A2
requests,cookies.py,Simple Atributte,549,549,33,A2
requests,cookies.py,Simple Atributte,554,554,29,A2
requests,cookies.py,Simple Atributte,38,38,29,A2
requests,cookies.py,Simple Atributte,44,44,24,A2
requests,cookies.py,Simple Atributte,52,52,15,A2
requests,cookies.py,Simple Atributte,53,53,19,A2
requests,cookies.py,Simple Atributte,55,55,32,A2
requests,cookies.py,Simple Atributte,56,56,26,A2
requests,cookies.py,Simple Atributte,60,60,16,A2
requests,cookies.py,Simple Atributte,62,62,16,A2
requests,cookies.py,Simple Atributte,63,63,16,A2
requests,cookies.py,Simple Atributte,64,64,16,A2
requests,cookies.py,Simple Atributte,65,65,16,A2
requests,cookies.py,Simple Atributte,73,73,23,A2
requests,cookies.py,Simple Atributte,73,73,50,A2
requests,cookies.py,Simple Atributte,76,76,15,A2
requests,cookies.py,Simple Atributte,76,76,41,A2
requests,cookies.py,Simple Atributte,121,121,8,A2
requests,cookies.py,Simple Atributte,148,148,11,A2
requests,cookies.py,Simple Atributte,160,160,44,A2
requests,cookies.py,Simple Atributte,162,162,40,A2
requests,cookies.py,Simple Atributte,164,164,27,A2
requests,cookies.py,Simple Atributte,164,164,42,A2
requests,cookies.py,Simple Atributte,164,164,55,A2
requests,cookies.py,Simple Atributte,202,202,19,A2
requests,cookies.py,Simple Atributte,232,232,18,A2
requests,cookies.py,Simple Atributte,240,240,20,A2
requests,cookies.py,Simple Atributte,249,249,18,A2
requests,cookies.py,Simple Atributte,257,257,20,A2
requests,cookies.py,Simple Atributte,275,275,20,A2
requests,cookies.py,Simple Atributte,281,281,15,A2
requests,cookies.py,Simple Atributte,289,289,15,A2
requests,cookies.py,Simple Atributte,303,303,12,A2
requests,cookies.py,Simple Atributte,303,303,27,A2
requests,cookies.py,Simple Atributte,318,318,42,A2
requests,cookies.py,Simple Atributte,323,323,19,A2
requests,cookies.py,Simple Atributte,351,351,20,A2
requests,cookies.py,Simple Atributte,352,352,16,A2
requests,cookies.py,Simple Atributte,353,353,16,A2
requests,cookies.py,Simple Atributte,355,355,27,A2
requests,cookies.py,Simple Atributte,364,364,12,A2
requests,cookies.py,Simple Atributte,379,379,15,A2
requests,cookies.py,Simple Atributte,400,400,15,A2
requests,cookies.py,Special Class Attribute __dict__,417,417,16,B2
requests,cookies.py,Special Class Attribute __dict__,424,424,8,B2
requests,cookies.py,Simple Atributte,426,426,33,A2
requests,cookies.py,Simple Atributte,431,431,26,A2
requests,cookies.py,Simple Atributte,451,451,27,A2
requests,cookies.py,Simple Atributte,503,503,18,A2
requests,cookies.py,Simple Atributte,38,38,29,A2
requests,cookies.py,Simple Atributte,44,44,24,A2
requests,cookies.py,Simple Atributte,52,52,15,A2
requests,cookies.py,Simple Atributte,55,55,32,A2
requests,cookies.py,Simple Atributte,73,73,23,A2
requests,cookies.py,Simple Atributte,76,76,15,A2
